UT,PY,text,com,dgr_int
2-S2.0-85109857856,2021,"innovation analytics and digital innovation experimentation: the rise of research-driven online review platforms. big data analytics constitute one of the driving forces of the fourth industrial revolution and represent one of the founding pillars of industry 4.0. they are increasingly leveraged to create business insights from online reviews of products and services by a wide range of organizations and firms. in this work, we develop a typology of online review platforms (orps) and describe a novel platform, research-driven online review platform (rorp), that combines the science and rigor of very large-scale, low-cost, fast-paced, and complex digital experimentation using real-world customers on digital platforms with the power of modern ai-based big data analytics capabilities (bdac) to generate novel innovation insights for the digital age. using multiple real-world case studies, we illustrate how rorps operate and deliver value through innovation analytics, and serve as a powerful tool for digital innovation experimentation, enabling firms to innovate more effectively and transform their business models to adapt to rapidly changing market conditions. we shed light on the bdac requirements, as well as the benefits and challenges of using rorps and innovation analytics, particularly in the post-covid-19 world, and offer strategic and operational implications for entrepreneurs and innovation managers.",1,1.165595815748736
2-S2.0-85059300434,2019,"a bibliometric analysis of research on big data analytics for business and management. purpose: the purpose of this paper is to scrutinize and classify the literature linking big data analytics and management phenomena. design/methodology/approach: an objective bibliometric analysis is conducted, supported by subjective assessments based on the studies focused on the intertwining of big data analytics and management fields. specifically, deeper descriptive statistics and document co-citation analysis are provided. findings: from the document co-citation analysis and its evaluation, four clusters depicting literature linking big data analytics and management phenomena are revealed: theoretical development of big data analytics; management transition to big data analytics; big data analytics and firm resources, capabilities and performance; and big data analytics for supply chain management. originality/value: to the best of the authors’ knowledge, this is one of the first attempts to comprehend the research streams which, over time, have paved the way to the intersection between big data analytics and management fields.",1,2.6767596724106038
2-S2.0-85061056232,2019,"big data and dynamic capabilities: a bibliometric analysis and systematic literature review. purpose: recently, several manuscripts about the effects of big data on organizations used dynamic capabilities as their main theoretical approach. however, these manuscripts still lack systematization. consequently, the purpose of this paper is to systematize the literature on big data and dynamic capabilities. design/methodology/approach: a bibliometric analysis was performed on 170 manuscripts extracted from the clarivate analytics web of science core collection database. the bibliometric analysis was integrated with a literature review. findings: the bibliometric analysis revealed four clusters of papers on big data and dynamic capabilities: big data and supply chain management, knowledge management, decision making, business process management and big data analytics. the systematic literature review helped to clarify each clusters’ content. originality/value: to the authors’ best knowledge, minimal attention has been paid to systematizing the literature on big data and dynamic capabilities.",1,3.186790676848959
2-S2.0-85109820553,2021,"customers’ evaluation of mechanical artificial intelligence in hospitality services: a study using online reviews analytics. purpose: this paper aims to analyze if and to what extent mechanical artificial intelligence (ai)-embedded in hotel service robots-influences customers’ evaluation of ai-enabled hotel service interactions. this study deploys online reviews (ors) analytics to understand if the presence of mechanical ai-related text in ors influences customers’ or valence across 19 leading international hotels that have integrated mechanical ai – in the guise of service robots – into their operations. design/methodology/approach: first, the authors identified the 19 leading hotels across three continents that have pioneered the adoption of service robots. second, by deploying big data techniques, the authors gathered the entire population of ors hosted on tripadvisor (almost 50,000 ors) and generated or analytics. subsequently, the authors used ordered logistic regressions analyses to understand if and to what extent ai-enabled hospitality service interactions are evaluated by service customers. findings: the presence of mechanical ai-related text (text related to service robots) in ors influences positively electronic word-of-mouth (e-wom) valence. hotel guests writing ors explicitly mentioning their interactions with the service robots are more prone to associate high online ratings to their ors. the presence of the robot’s proper name (e.g., alina, wally) in the or moderates positively the positive effect of mechanical ai-related text on ors ratings. research limitations/implications: hospitality practitioners should evaluate the possibility to introduce service robots into their operations and develop tailored strategies to name their robots (such as using human-like and short names). moreover, hotel managers should communicate more explicitly their initiatives and investments in ai, monitor ai-related e-wom and invest in educating their non-tech-savvy customers to understand and appreciate ai technology. platform developers might create a robotic tag to be attached to ors mentioning service robots to signal the presence of this specific element and might design and develop an additional service attribute that might be tentatively named “service robots.” originality/value: the current study represents the first attempt to understand if and to what extent mechanical ai in the guise of hotel service robots influences customers’ evaluation of ai-enabled hospitality service interactions.",2,1.6142805542862513
2-S2.0-85118988974,2022,"big data and analytics in hospitality and tourism: a systematic literature review. purpose: the purpose of this work is to survey the body of research revolving around big data (bd) and analytics in hospitality and tourism, by detecting macro topical areas, research streams and gaps and to develop an agenda for future research. design/methodology/approach: this research is based on a systematic literature review of academic papers indexed in the scopus and web of science databases published up to 31 december 2020. the outputs were analyzed using bibliometric techniques, network analysis and topic modeling. findings: the number of scientific outputs in research with hospitality and tourism settings has been expanding over the period 2015–2020, with a substantial stability of the areas examined. the vast majority are published in academic journals where the main reference area is neither hospitality nor tourism. the body of research is rather fragmented and studies on relevant aspects, such as bd analytics capabilities, are virtually missing. most of the outputs are empirical. moreover, many of the articles collected relatively small quantities of records and, regardless of the time period considered, only a handful of articles mix a number of different techniques. originality/value: this work sheds new light on the emergence of a body of research at the intersection of hospitality and tourism management and data science. it enriches and complements extant literature reviews on bd and analytics, combining these two interconnected topics.",1,0.5782235133833228
2-S2.0-85074131523,2019,"big data analytics capabilities and performance: evidence from a moderated multi-mediation model. big data analytics (bda) have the power to revolutionize traditional ways of doing business. nevertheless, the impact of bda capabilities on a firm's performance is still not fully understood. these capabilities relate to the flexibility of the bda infrastructure and the skills of the management and the firm's personnel. most scholars explored the phenomenon from either a theoretical standpoint or neglected intermediate factors, such as organizational traits. this article builds on the dynamic capabilities view to propose and empirically test a model exploring whether organizational ambidexterity and agility mediate the relationship between bda capabilities and organizational performance. using data from surveys of 259 managers of large european organizations, we tested a proposed model using bootstrapped moderated mediation analysis. we found that organizational bda capabilities affect a firm's ambidexterity and agility, which, in turn, affect its performance. these results establish ambidexterity and agility as positive mediators in the relationship between organizational bda capabilities and a firm's performance. furthermore, the organizational resistance to the implementation of information management systems and the fit between the organization and these systems also moderated this relationship. practical implications for managers are also discussed.",1,2.9596797298677626
2-S2.0-85105500726,2021,"how to conduct a bibliometric analysis: an overview and guidelines. bibliometric analysis is a popular and rigorous method for exploring and analyzing large volumes of scientific data. it enables us to unpack the evolutionary nuances of a specific field, while shedding light on the emerging areas in that field. yet, its application in business research is relatively new, and in many instances, underdeveloped. accordingly, we endeavor to present an overview of the bibliometric methodology, with a particular focus on its different techniques, while offering step-by-step guidelines that can be relied upon to rigorously perform bibliometric analysis with confidence. to this end, we also shed light on when and how bibliometric analysis should be used vis-à-vis other similar techniques such as meta-analysis and systematic literature reviews. as a whole, this paper should be a useful resource for gaining insights on the available techniques and procedures for carrying out studies using bibliometric analysis.",5,0.6177284946321688
2-S2.0-85048868415,2018,"ambidextrous organization and agility in big data era: the role of business process management systems. purpose: the purpose of this paper is to explore the effect of big data analytics-capable business process management systems (bda-capable bpms) on ambidextrous organizations’ agility. in particular, how the functionalities of bda-capable bpms may improve organizational dynamism and reactiveness to challenges of big data era will be explored. design/methodology/approach: a theoretical analysis of the potential of bda-capable bpms in increasing organizational agility, with particular attention to the ambidextrous organizations, has been performed. a conceptual framework was subsequently developed. next, the proposed conceptual framework was applied in a real-world context. findings: the research proposes a framework highlighting the importance of bda-capable bpms in increasing ambidextrous organizations’ agility. moreover, the authors apply the framework to the cases of consumer-goods companies that have included bda in their processes management. research limitations/implications: the principal limitations are linked to the need to validate quantitatively the proposed framework. practical implications: the value of the proposed framework is related to its potential in helping managers to fully understand and exploit the potentiality of bda-capable bpms. moreover, the implications show some guidelines to ease the implementation of such systems within ambidextrous organizations. originality/value: the research offers a model to interpret the effects of bda-capable bpms on ambidextrous organizations’ agility. in this way, the research addresses a significant gap by exploring the importance of information systems for ambidextrous organizations’ agility.",1,1.576053513625322
2-S2.0-85114997041,2022,"data intelligence and analytics: a bibliometric analysis of human–artificial intelligence in public sector decision-making effectiveness. this study investigates the literary corpus of the role and potential of data intelligence and analytics through the lenses of artificial intelligence (ai), big data, and the human–ai interface to improve overall decision-making processes. it investigates how data intelligence and analytics improve decision-making processes in the public sector. a bibliometric analysis of a database containing 161 english-language articles published between 2017 and 2021 is performed, providing a map of the knowledge produced and disseminated in previous studies. it provides insights into key topics, citation patterns, publication activities, the status of collaborations between contributors over past studies, aggregated data intelligence, and analytics research contributions. the study provides a retrospective review of published content in the field of data intelligence and analytics. the findings indicate that field research has been concentrated mainly on emerging technologies' intelligence capabilities rather than on human–artificial intelligence in decision-making performance in the public sector. this study extends an ambidexterity theory in decision support, which enlightens how this ambidexterity can be encouraged and how it affects decision outcomes. the study emphasises the importance of the public sector adoption of data intelligence and analytics, as well as its efficiency. furthermore, this study expands how researchers and practitioners interpret and understand data intelligence and analytics, ai, and big data for effective public sector decision-making.",1,1.4068211700731967
2-S2.0-85085310993,2020,"user experience (ux) in business, management, and psychology: a bibliometric mapping of the current state of research. user experience (ux) describes the holistic experience of a user before, during, and after interaction with a platform, product, or service. ux adds value and attraction to their sole functionality and is therefore highly relevant for firms. the increased interest in ux has produced a vast amount of scholarly research since 1983. the research field is, therefore, complex and scattered. conducting a bibliometric analysis, we aim at structuring the field quantitatively and rather abstractly. we employed citation analyses, co-citation analyses, and content analyses to evaluate productivity and impact of extant research. we suggest that future research should focus more on business and management related topics.",5,0.23012296560679713
