,UT,0,1,2,3
0,2-S2.0-85109857856,0.6003431677818298,0.10520243644714355,0.18071119487285614,0.07197082042694092
1,2-S2.0-85059300434,0.34295859932899475,0.09975078701972961,0.16153296828269958,0.07008972018957138
2,2-S2.0-85061056232,0.999184787273407,0.0002497004752513021,0.000391587323974818,0.00017393376037944108
3,2-S2.0-85109820553,1.9529041905231737e-39,3.579740241382606e-39,3.132469593644018e-39,1.0
4,2-S2.0-85118988974,0.4119504690170288,0.11118581891059875,0.17491328716278076,0.07514867931604385
5,2-S2.0-85074131523,0.8557015657424927,0.04445686563849449,0.06865917891263962,0.031182434409856796
6,2-S2.0-85105500726,0.5283960700035095,0.07985906302928925,0.11675475537776947,0.05952483415603638
7,2-S2.0-85048868415,0.8282439112663269,0.052263062447309494,0.08313536643981934,0.03635765239596367
8,2-S2.0-85114997041,2.5341319649588927e-39,1.0,4.4391201557929437e-39,3.223234497775265e-39
9,2-S2.0-85085310993,0.18673723936080933,0.11513002216815948,0.2243403047323227,0.08620686084032059
10,2-S2.0-85091665759,0.4719163775444031,0.11854791641235352,0.1936078518629074,0.08048541843891144
11,2-S2.0-85057624886,0.6421274542808533,0.1036052331328392,0.17690353095531464,0.0694042295217514
12,2-S2.0-46549086973,0.37511488795280457,0.07959027588367462,0.12820632755756378,0.06560838967561722
13,2-S2.0-85087340759,0.7932297587394714,0.06175806000828743,0.10091167688369751,0.044100575149059296
14,2-S2.0-85087315155,0.7324473857879639,0.07850980758666992,0.13414180278778076,0.05490095540881157
15,2-S2.0-85104767501,0.600900411605835,0.08694327622652054,0.18752127885818481,0.05954011529684067
16,2-S2.0-84992743798,1.0,2.263482376962269e-39,3.588096184125375e-39,1.5445321868557782e-39
17,2-S2.0-85122418678,0.05279967561364174,0.3910358250141144,0.07811059802770615,0.08211801201105118
18,2-S2.0-84949671178,0.5652210712432861,0.09095975011587143,0.16186636686325073,0.07104885578155518
19,2-S2.0-85101243762,0.029610516503453255,0.8684526681900024,0.05199380964040756,0.03800026327371597
20,2-S2.0-85095578098,0.11969710886478424,0.13017399609088898,0.14737242460250854,0.06658124923706055
21,2-S2.0-85099122496,0.4746459722518921,0.08550450205802917,0.18836155533790588,0.06390286237001419
22,2-S2.0-85102183109,0.00021153464331291616,0.00038775952998548746,0.00032347525120712817,0.9990772604942322
23,2-S2.0-85109153903,1.0,2.6346190778356253e-39,5.332546017692517e-39,1.8551748330242323e-39
24,2-S2.0-85098228582,2.4662110283930688e-39,1.0,4.3530061612647907e-39,3.255573663734953e-39
25,2-S2.0-85021367604,0.7358077764511108,0.06661482155323029,0.1024802103638649,0.049644649028778076
26,2-S2.0-85092288947,4.888494152526483e-39,4.203194743742289e-39,1.0,3.097868731962909e-39
27,2-S2.0-85095859720,0.28410232067108154,0.08709853142499924,0.17636381089687347,0.05770649388432503
28,2-S2.0-85046679338,0.8212223649024963,0.0530056469142437,0.09003656357526779,0.03573542460799217
29,2-S2.0-85101209423,0.03824654594063759,0.07756877690553665,0.06453053653240204,0.6942195296287537
30,2-S2.0-85085169156,0.07145564258098602,0.4188491106033325,0.11362343281507492,0.08194944262504578
31,2-S2.0-85117386857,0.8289869427680969,0.04597366973757744,0.09285708516836166,0.032182350754737854
